Toan,Van,Ly,Hoa,Sinh,Anh,Khoi_Thi
7.7,7.6,7.6,5,5,5,C01
6.5,7.5,5,5,7.3,8.1,D01
7.9,6.4,6.7,9.4,5,7.3,B00
9.5,7.2,6,5.6,5,8,C01
7.7,6,7.6,5.1,5.8,9.5,A01
8.3,5,5,5,5,5.2,A01
9.3,7.6,7.6,5,6.3,7.9,A01
7.5,6.9,5,5.3,5,5.1,D01
9.2,8.1,5,6.6,5.3,7.5,D01
5,9.5,5,5,5.8,8.6,D01
8.8,5,5,7.1,7.6,5,B00
7.1,5,5.4,6.2,5,5,B00
8.5,7.2,9.1,5.5,5,6.9,A01
9.8,6.1,6.4,5.8,5,5.9,B00
7.1,5,5,7.6,7.1,5.3,B00
9,8.8,8.3,5,5,5,C01
7.3,5,5,5.8,8.2,5,B00
6,5.7,8.1,5,6.5,7.3,A01
8.9,5,8.7,5,5,8.1,A01
5,8.7,5.7,5,5,6.8,A01
6.8,5,6.8,5,7.1,5,B00
5.8,7.6,5,5,6.2,5,D01
7,8.5,7.3,6.5,5,5,C01
7.9,6.6,5.5,5,6.4,7.4,D01
9.3,6.3,5,7.2,6.3,5,B00
8.4,5,5,6.6,7.9,5,B00
6.9,7.1,6.6,5,5.3,7.9,A01
5.2,9.7,5,5,5,6.8,D01
9.4,9.7,5.5,5,5,6.3,D01
7,6.1,6.4,5,5,7.7,A01
7.7,5,5,6.9,8.3,5,B00
9.3,5.2,5.8,5.7,7.5,7.2,B00
8.2,8.9,5,5.8,5,5,C01
7.9,7.9,5.6,5,5,7.4,D01
7.8,6.7,8.4,5,5,6,C01
5.1,8,5,6.8,5,5,C01
6.4,8,6.1,5,5,7.6,A01
8.1,5,5,5,5.8,8.6,A01
9.4,5,5,6.5,6.1,5,B00
8.5,8.5,9,5,5,7,A01
6.9,5.8,5,5,5,5,C01
8,5.5,8.1,5,5,5.9,C01
9.2,6.6,5.9,5,5,7.1,A01
8,7.1,5.9,5,5,5,D01
8.7,7.7,8.8,5,5.6,9.7,A01
8,5,5,6.6,7.5,5,B00
7.1,5.5,5.1,5.9,8.7,5,B00
8.5,5,5.2,8.1,8.5,7,B00
8.5,6.7,6.2,7.6,8,5,B00
9.4,5.1,5.5,5.9,7.2,7.3,B00
7.4,5,5.1,5,5.1,5.2,B00
7.3,8.7,5.8,5,5,7.9,D01
7.7,6.1,9.1,5,5,7.1,A01
6.3,5.7,6.9,5,5,5,A01
7.8,5,5.1,5,5,6.4,A01
9.6,8.4,7.9,5,5,5.8,C01
5.5,6.5,5.9,5,5.5,5,A01
7.1,8.3,5,5,5,6.7,D01
9.6,5,5,8.6,9.5,5,B00
7.1,5,5,6.9,6.7,5,B00
6.5,9.1,7,5,5,5,C01
7.8,5,6.3,5,5,5,A01
8.3,5,6.3,6.9,6.9,5,B00
5,5.2,5,8.7,9.4,5,B00
7,8.4,8.9,5,5,5,C01
7.8,5.5,5.7,5.4,5.3,5,B00
9.3,8.5,7.7,5,5.3,6.8,A01
8.3,6.4,6.3,5,5,5,D01
5,6.4,5,5,5,7.7,A01
7,6,6.6,5.8,5.7,8.1,D01
8.8,8.6,6,5,5.3,7.5,D01
7.1,5,6.3,6.3,7.1,7,B00
8.8,5.6,6,5.3,6.4,9.6,A01
8.9,5,7.6,5,5,8.1,A01
8.4,7.2,9.5,5.8,5,7.7,C01
6.4,7.3,7.9,5,5,5.1,C01
8.2,6.2,5,5,5,7.7,D01
6.7,8.9,5,5,5.9,7.4,D01
8.7,8.5,8.4,7.2,5,5.6,C01
5.8,8.4,5.2,5.6,5.9,7.5,A01
9.5,5,6.3,7.4,7.8,5.4,B00
6.8,5.2,5,5,5,7.3,D01
8.9,5.2,6.2,8.9,5.2,5,B00
6.6,8.8,6.9,5,5,7.8,A01
9.3,7.9,5,5.1,5,5,C01
9.6,7.1,5,8.9,7.4,6.6,B00
7.2,7.3,5,5,5,9.1,D01
7.8,9.4,7.3,6.8,5,5.1,C01
8.4,6.6,8.4,5,5.6,6.5,A01
7.3,9.1,5,5,5.4,5.6,D01
8.9,5,6.2,7.6,6.8,5,B00
8.6,5,6.1,5,7.2,5.2,B00
7.3,6.8,5,9.2,7.5,5.6,B00
7.8,5,6.4,5,5.1,9.4,A01
7.4,6.8,5.2,8.1,7.7,5.2,B00
9.5,5.8,8.1,6.4,5.4,8.5,A01
5.1,6,5,6.5,7.2,5,B00
9.1,5,5,7.6,6.3,8,B00
7,6,7.4,5.7,5,7.6,C01
9.2,5.6,5,5.8,5,9.1,D01
7.8,5.8,7.4,5.2,5,6.3,A01
9.2,5.8,5,7,6.1,5,B00
6.7,5,5,6.5,5.4,5,B00
9.4,6.7,5.3,5.5,5,8.5,A01
8.4,8.8,7.6,5,5,9.4,D01
5.4,6.5,8.3,5.4,5.3,5.3,C01
6.6,5,6.7,7.9,6.4,5,B00
9.3,5.4,5,7.4,8.7,5.5,B00
7.8,7.3,5.7,5,7.6,7.9,A01
5.2,6,8,5,5,6.6,C01
8.6,5.4,6.7,5,5,5.6,A01
5.7,8.1,5,5.7,6,8.2,D01
7.5,7.4,5,5,5,6,D01
6.2,6,5.1,7.9,7.1,5,B00
5.2,7.8,8.2,5,5,5,C01
6.7,7.8,6.5,5,5,9.7,D01
6.9,9,8.2,5,5,6.5,C01
8.4,6.6,7.8,5,5,5.9,A01
8.8,5,5,6.1,7.4,5.6,B00
6.3,5.7,8.3,5.3,5,7.4,D01
7.7,8.8,6.5,5,5.7,5.3,C01
8.1,5.7,7.6,5,5,5,C01
6.5,8.5,5,5,7,6.7,D01
6.2,9.8,5,5,5.9,7.6,D01
8.8,7.7,5,5,5,7.7,D01
6.8,6.8,9.2,5,5,8.3,A01
7.9,5,5.8,6.4,5,6.9,C01
8.4,7,8.4,6.1,5,7.2,C01
5.6,8.1,7.2,6.6,6.6,5.8,C01
9,7.7,8.4,5,5,6.3,C01
7.2,5.2,6.7,5,5,7.2,A01
8.8,6,6,5,5,5,D01
8.5,7.2,8.3,5,5.9,5,C01
5.1,5,5.8,5,5,6.4,A01
8.1,5,6.3,8.5,6.8,6,B00
7.6,5,6.1,5,5,6.2,A01
9.4,6.1,5,8.5,8.7,5.5,B00
7.8,5,5,5,5,9.1,A01
7.8,5.7,5,8.1,6.8,5,B00
7.1,9.1,5.7,5,5,7.6,C01
7.8,8.4,7.3,5.2,7.6,5.6,C01
7.5,7.7,7.5,6,5,5.1,C01
7.6,5.5,5,5,5.9,5.2,D01
7.1,5,5,8.2,8.4,7,B00
9.3,5,9.3,6.2,5,7.4,A01
9.3,8.8,5,5,5.9,8,D01
9.6,7.5,7.7,5,5,6.2,A01
7.6,7.4,7.1,5,5,6,D01
6.4,5,5.9,5.8,5.1,7.5,D01
5.9,5,5,5.5,8.6,5.8,B00
8.1,8.9,6.1,5,6.8,6.2,D01
7.7,7,7.4,6.3,5.6,9.6,A01
8.2,5,5,7.1,7.4,6.8,B00
8.9,6.1,8.1,5,5,5.2,C01
7.5,5,6.1,8.1,7.5,5,B00
9.1,8,5.8,5.3,5,5.4,D01
8.2,5,8.1,5.1,5,8.6,A01
7.6,6.6,7.6,5.1,5,5.1,C01
9.1,6.3,6.6,5,5,5,C01
8,8.6,8.7,5,5,5,C01
8.1,5,5,9.1,9.1,5.2,B00
8.7,5,5,8.6,7.7,5.6,B00
7.7,6.9,5.2,5,5,8.5,D01
8.4,5.3,5,6.1,5.9,6.1,B00
8.8,6.4,5,5,5,5.5,D01
7.5,7.1,8.3,5,5,5,C01
6,6.9,6.7,6.4,6.7,5.8,C01
5,8.3,7.5,5,6.2,6.3,C01
8.2,5,5.5,7.5,6.3,6.7,B00
5.6,9.7,5,5,5,5.7,C01
7.8,6.3,5.2,8.1,5,6.1,D01
7.7,5,5,5,7.8,5.4,B00
7.1,8.2,5,7.2,5,6.3,D01
8.2,6.9,5,5,7,5.4,B00
7,5,8.9,5,5,8.3,A01
8.6,5,5.8,6.2,5.6,5,B00
7.3,9.7,6.7,7,8.6,6,D01
9,5,7.4,8.1,6.1,5,B00
7.9,7.1,5,5,5,8.3,D01
8.1,9.7,5.5,5,5,8,D01
7,7,6.8,8.1,5.4,5,B00
8.6,9.6,7.8,5.4,5,5,A01
5.6,6.3,6.6,5,5,5,C01
9.7,5.1,6.1,7.9,8.4,5,B00
9,9.1,5.1,5.9,6.5,7.1,D01
9.3,5,7.4,9,5,5,B00
7,5,5.4,5.2,5.7,5,B00
8.7,5.5,7.2,5.5,5.1,7.1,C01
9.2,5,5,9,7.2,5.2,B00
9.3,5.7,8.3,7.2,7.6,5,B00
8.2,6.6,6.7,6.2,8.9,5,B00
9.1,5.6,6.6,8.7,6.2,5,B00
9.5,5,5.9,7.6,7.2,5,B00
8.7,7.7,6.8,5,5,8.5,D01
8,6.2,6.9,9.8,7.6,5,B00
6.4,5.5,5.9,8.8,8,7.1,B00
5.3,5,5,7.3,5,5,C01
5.2,5.5,5,5,7.1,5.4,B00
7.7,5,5,6.7,6.8,5,B00
8.3,7.3,5,5,5,5.7,D01
9.5,8.2,6.8,5.5,5.2,6.7,C01
9.6,9.2,5.2,5,5,5,C01
5.6,8.3,7.5,5,5.3,5.5,C01
5.9,5,8.4,5,5,9.4,A01
5.4,8,7.2,5,5,5.1,C01
7.4,5.9,5.8,6.1,5.4,5.5,B00
5,8.7,5,5,5,5,C01
6.6,5,5,7.9,7.4,5,B00
8.4,6.3,8.1,5,5,8.7,A01
6.9,5,5,8.3,5,5,B00
7.9,7.8,6.8,5,5,6.9,D01
7.2,5,5,9.1,9.6,5.7,B00
8.5,5.8,5.8,9.1,8.2,5,B00
7.5,5,8.9,5,5,6.6,A01
7.2,6.2,8.3,5,5,5.5,A01
9.6,7.7,8.4,5,6.9,7.9,C01
9,5.3,5,8.9,5.6,5,B00
9.2,5,6,5.1,5,5.3,B00
7.5,5,5,5.9,7.1,5,B00
6.1,5.4,7.3,5,7.1,5,C01
5.9,5,5,5,5,8.2,A01
5.4,5,7.2,6.1,5.1,5,B00
8.2,5,5,6,8.2,5,B00
9.6,5,5.9,9.1,7.9,5.9,B00
9.4,5.5,6,5,7.1,5,B00
9.2,6.7,5,5.1,5,5.3,C01
8.6,9.2,6,5,5,5,C01
9.1,8.6,7.2,5,5.4,8.5,D01
6.8,5,5,6.1,7.2,5.6,B00
7.3,5,6.6,5,5,6.5,A01
8.5,6,5.3,9,7.2,5.1,B00
6.2,8.1,5,5.7,5.5,8.9,D01
9,8,8.3,6.3,5,5,C01
8.1,7.7,5,5,5,6.4,C01
6.7,5,7.9,5,5.4,6.6,A01
6.6,5.1,5,9.1,5.4,5,B00
6.4,5,9.2,5,6,7.6,A01
6.9,7.2,7.9,5,5.2,5,C01
7.6,8.5,5,5,5,5.8,D01
6.5,5.9,5.2,5,5.9,7.6,D01
7.8,6.6,7.6,5.7,6.4,5.5,C01
8.5,6.8,6.8,7.9,7.4,6.2,B00
9.1,7.4,7.7,6.3,5,6.4,D01
6.7,6.5,5,5.9,5,6.2,C01
9,5.9,7.9,5,5,7.3,A01
8.3,7,5.8,6,6.8,5,B00
8.8,5,6.5,8.9,8.7,5,B00
8.3,6.1,5,7.3,7.2,5,B00
5.6,5,6,9.1,6.8,5,B00
6.9,8.1,5.4,5,5.6,6.5,C01
7,5,7.7,9,5,5.4,B00
8.8,7.9,8.3,5.4,5,8.6,A01
5.6,5,5,8.9,5.4,5,B00
9.4,6.7,5,6.2,5.6,8.2,D01
7.5,7,9.3,5,5,5,C01
7.6,5,8.5,6.6,7,5,B00
6.8,7.5,5,5,5,7.4,D01
8.6,8.9,5.6,5,5.4,7.2,D01
5,5,5.7,6.1,7.7,5,B00
9.2,9,7.6,5,5,5.9,A01
6.8,8.4,5.5,5.4,5,5,C01
8.3,8.9,8.2,5,5,7.9,D01
7.9,7.5,5.4,5,7.3,7.4,D01
9.4,6.5,8.1,5,5,5.2,D01
6.5,7.5,8,5,5,5,C01
6.5,5,6.6,6.3,7.5,5,B00
8.5,8.6,7.4,5,5,5,A01
6,6.1,5,6,6.8,6,B00
6.7,5,5.4,8.5,5.9,7.2,B00
7.6,7.3,7,5,6.6,5,C01
9.7,9.7,6.7,5,6.6,6.9,C01
7.2,6.6,5.1,5,7.5,5,C01
5.2,5,5,6.5,6.8,6.7,B00
6.5,8.2,8.5,5,5,5,C01
8.2,8.2,5,5,5.7,8.2,A01
8.4,6,5,7.9,7.5,5.8,B00
5.5,9.6,6.5,5,5.7,5,C01
8.7,8.8,5.2,7.5,5,5,C01
8.5,5.7,5,6,6,5.7,D01
9,5.6,6.5,8.2,8.6,5.1,B00
7.9,6.8,5.9,9.2,8.5,5,B00
6.1,5.4,7.8,6.5,6.1,6,B00
9.6,5,5.1,8.9,6.9,5.1,B00
5.5,6.3,7.9,5,5.4,7.5,D01
7.1,7.6,5,5,5,5,C01
9,5,5.6,5,5,7.8,D01
8.6,5,5.3,8,9.3,6.8,B00
8.4,8.1,5.8,5,5.7,7.5,D01
8.9,5,5,5,5.9,6.9,A01
9.2,6.6,5.1,5,7.7,6.3,D01
9,5,5.2,6.5,7.4,5,B00
8.8,5,6,8.7,5,5,B00
5.4,5,5,5.2,9.2,5,B00
5.2,8.9,5,5,5,6.1,D01
6.6,6.8,5.5,5,5,6.9,A01
8,5,6,6.7,8.2,5.4,B00
6.5,9.5,6.9,5,5.4,6.3,D01
7.3,5,6,8.6,5,5.6,B00
8.4,5,5,7.6,6.4,6.4,B00
9.5,5,7.4,9.3,7.8,5,B00
9.3,5,5,9.4,9.2,5,B00
5,7.8,5,5.5,5,8.6,D01
9.9,9.8,7.5,5,5.2,5.4,C01
8.2,5,5,8.8,8,5,B00
6.6,7.9,5.1,5.8,5.9,8.6,D01
5.3,5.2,5,6.4,7,5.2,B00
8,6.2,8.3,5.1,5.3,8.5,A01
5,5,7.7,7.6,5,5,B00
6.1,5.2,5.1,6.1,8.3,5.2,B00
5,5.5,8.7,5,5.8,5,A01
6.7,7.9,5,5.1,5,6.5,D01
5.6,8.8,8.7,5,5,7.7,C01
8.7,5,5,8.6,8.5,5.2,B00
9.1,7.9,8.7,5,5.7,5.3,C01
7.3,6,8.1,5,5,6.2,C01
8,7.1,7.4,5,5,8.6,D01
6.2,9,6.2,5,5.8,9.3,D01
7.6,5.3,7.2,5,8.3,6.1,B00
7.4,8.8,7.4,5,5,5.7,C01
5.7,8.9,6.5,5.2,5,5,C01
8.9,5.2,7.7,5,5,5.6,C01
8.5,6.7,6.7,5,6,8,A01
6.4,8,7.8,5,5,8,A01
7,5,5,6.5,7.9,6.8,B00
7.1,5,5.1,5.2,7.4,5,B00
7.4,7.1,5,5,5,8.5,A01
8.7,5.7,5.7,5,5,7.8,C01
7.8,5.5,7.4,5,5,6.9,A01
8,9.4,7,6.3,5,5,C01
8.8,7.5,6,8.1,9.5,5,B00
6.9,7.3,7,5,5,6.3,D01
8.9,5,5,8.5,7,5,B00
8.5,8.5,5.5,5,6.8,7.6,A01
7.5,9.8,8,5,5,5,C01
5,6.9,5,5.3,5,8.3,D01
7.5,6.7,5.3,5,5,6.5,D01
8.9,5,5.1,7.9,5,5.6,B00
9.6,5,5,7.9,8.5,5,B00
8.5,6.9,6,5,6.7,5,D01
8.2,5,8,7.7,5.9,5,B00
5,8.9,7,5,5,6.5,C01
9,5,5,8.3,5,5,B00
8.7,5.9,6.9,5,6.9,8,A01
5.8,5.1,6.6,7.1,6.7,5,B00
9.2,5,5.5,9.8,9.1,5,B00
7.1,7.4,8.4,5.9,5,5,C01
9.5,7.1,5,5,5.9,7.7,D01
9.6,5,5,7.4,6.3,7.1,B00
7.9,6.8,6.9,5,6.2,7.5,D01
8.3,6.7,6,5,5,6.9,A01
5.7,5.6,5,7.6,7.3,5,B00
8.7,6.9,5,5,5,7.9,A01
8.6,8.4,7.5,5,5,9.8,D01
6.5,7.8,8.9,6.8,6.9,5.8,C01
8,6,5.9,5,5,5.5,C01
8.1,8.4,5,5,5,6.9,D01
7.5,8.5,5.8,5,5,5,C01
9.6,6.8,5,6,5,7.4,D01
8.2,8.1,5.6,5,5,6.6,C01
8.7,7.9,7.8,5.7,5,7.6,D01
8.2,5.5,5,6,5.8,6.5,B00
5.4,7.8,5.5,7.3,5.4,5,A01
8.3,7.1,5,5.9,8.8,5,B00
8.1,5,6,6.1,5,5,A01
7.4,8.3,7.5,5,5,5.3,C01
8.9,5,5,8,8,5,B00
7.3,8.9,7.7,5,5,6.2,C01
8,5.7,8.4,5,5,7.1,A01
5.3,5.4,5,6.9,6.6,5,B00
8.4,5,5,7.7,7.6,5,B00
9.3,8.3,5,5,5,8,D01
8.2,5,7.3,8.5,8.6,5,B00
9.7,5,5,9.3,7.7,5,B00
8,8.1,8.3,5,5.3,7.2,C01
9.7,7,8,5.8,6.7,5.7,C01
8.1,5,5,9.6,7.5,5,B00
8.4,5.5,5,7,6.2,5,B00
7.1,5,6.8,9.4,5,6.6,B00
5.6,6.8,5,5,5,7.9,D01
8.8,8.6,5,5,5,9.1,A01
7.7,5,5,5.6,9.1,5.1,B00
9.5,7.9,8.1,5,5,6.4,A01
9,5,5.3,6.8,6.1,5,B00
8.3,7.5,5,5,5,5.3,D01
6.3,5,5.4,5,6.7,5,B00
8,6.7,6.9,6.6,5,6.3,A01
8.8,5,6.4,7.5,7.3,5,B00
5.2,5.6,6.6,6.5,5,5.9,A01
7.8,7.3,7.6,5,5.4,8.5,A01
7.9,8.1,5.8,5,5,8.1,D01
5.8,5.4,6.2,5,5,5,C01
6.1,6.2,5,5,5.4,7.7,D01
9.2,7.5,6.7,5.1,5,7.6,D01
8.8,7.7,7.9,5,5,5,C01
5.6,6.4,7,5,5,8,A01
5,9,5,5,5,7.4,D01
6.4,8.2,6.2,5,5,8.3,D01
6.6,7.9,5.6,5.9,5,8.4,D01
5,5.1,5,9.2,8.7,8.2,B00
7.4,5,6.4,9.3,6.5,6.8,B00
7.6,8.7,5,5,5,7.5,D01
7.8,7.2,5.2,5,5,5.2,C01
5,6,5.6,5,5,7.4,D01
6.5,5.6,6.4,5,5.7,5,A01
7.9,6.7,5.5,8.1,6.2,5,B00
9.7,6.1,5.3,6.8,8.1,5,B00
7.2,9.7,5,5,7.5,8.2,D01
7,5,5,8.7,8.3,5.5,B00
6.9,5,5.7,5,5.2,6.1,A01
5.5,9,8.2,5.8,5,8.1,D01
6.5,5.8,9.7,5,6.9,9.2,A01
9,9,5,5,5,6.3,D01
7.7,5,5,5,7.8,5,B00
9.6,7.5,5,5,5.1,6.9,D01
8.8,7.5,7,5,5,7.4,C01
8.8,6.5,5,5,5,7.4,D01
8.6,5,7.7,5.7,7.5,6.7,D01
8.5,6.4,6.1,5,5,6.8,A01
6.2,5.8,5,5,5.5,5,A01
9.5,5,5,8.1,7.5,5.8,B00
6.7,6.4,6.8,5,5,5.7,C01
8.4,8.2,5,5.5,5,5.1,D01
8.7,5,5,7.3,9,7.8,B00
8.4,9,9,6.1,5,7.3,C01
7.8,6.4,5,9.3,9.2,6,B00
6.1,7.9,7.7,5,8.1,9.2,D01
7.8,5.4,5,5,7.1,7.2,D01
7.5,5.7,5,9.1,7.5,5,B00
5.2,5,5,7.1,7.7,5.2,B00
8.9,7.3,8.6,5,5.4,7,A01
7.6,8.3,5,5,5,5,C01
8.9,5,6.1,6.8,7.9,5,B00
7.8,5.7,8.5,5,5,8.7,A01
9.5,6.7,6.5,9.3,6.2,5,B00
8.7,6,5,7.4,7.9,5,B00
8.9,5,5,8.1,9.2,8,B00
9,8,7.4,5,6.2,5,C01
7.6,8.7,9.3,6.1,5,5.8,A01
7.6,7.9,6,5,6.3,6.6,C01
8.3,8.7,5,5,5,6.9,C01
8.6,6.8,5,8.6,7.1,5,B00
6.5,7.4,9.4,6.1,6.3,5,A01
8.7,9.3,6.5,5.4,5,7.3,C01
7.5,9.2,5,6.9,5,7.1,D01
8.1,5.9,5,5.5,7.8,5,B00
9.2,5,5.5,8.7,7.7,5,B00
8.8,5,6.6,5.5,7.8,5.2,B00
7.9,9.6,5.6,5,5.2,5.6,C01
9.2,5.9,6.6,5,5,5,A01
9.3,7.3,5,6.8,8.4,5,B00
7.7,8.6,7,5,5,7.4,C01
7.8,8,7.3,5,5,5,C01
7.6,5,5,6.6,7.1,5,B00
6,5.1,5,9.1,7.8,6,B00
5.4,7.1,5,5,5,5,C01
5.7,5,9.5,5,7.1,5,A01
8.8,6,8.1,5,5,6.4,A01
7.2,9,5,5.7,5.9,8.1,D01
7.2,9.2,8,5.8,5,6.9,A01
8,7.1,6.7,5,5,6.1,C01
9.2,7.5,5.7,5,5.8,6.8,D01
8.6,5,5,6.9,8.3,5,B00
9.2,5,6.7,6.1,6.3,5,B00
5.7,9.3,9.2,5,5.1,6.3,C01
7.1,8.9,6.4,5,5,7.6,D01
5.9,7.2,6.6,5,5.8,9.6,D01
5.7,8.3,9.2,5,5,5.3,C01
6.7,7.8,6.6,5,5,5,A01
6,5.7,6.6,6.1,5.8,5.8,C01
6.7,5,5,8,7.4,5,B00
9.3,5,8,9.1,7.9,5,B00
8.1,5,8.3,5,5,7.8,A01
5.7,5,6.5,8.1,5,5,B00
7.2,7.6,5,5,5,7.4,D01
5,5,5,7.3,7.9,5,B00
6.3,5,5.2,9.6,6.5,5,B00
7,7,5,8.7,8.7,5,B00
9,7.1,5,5,5,8.4,D01
9.6,7.6,7.8,5,5.8,5,C01
9,5,5,9.2,8.7,6,B00
6.9,5.6,5.6,5,8,5.8,A01
5,5.5,5,8.9,9.1,6.2,B00
5.3,6.6,5,5,8,9.1,D01
6.7,7.5,9.1,6.6,5.6,5,C01
5.3,5,5,6.3,7.6,6.6,B00
6.2,9.7,6.5,6.2,5,6.8,C01
6.2,5,5.1,9.2,7.7,5,B00
8.9,6.5,5,5.1,5.1,7.7,D01
7.9,5.9,5,8.2,7.2,5,B00
9.4,5.7,6.4,5,5,6.5,A01
9.6,5,6.1,5.6,6,5,A01
6.1,5,5,7.2,6.2,5.6,B00
6.2,8,5,5,5,6.3,D01
7.6,5,5,5.8,7.4,5,B00
5.6,8.4,5,5,5,7.5,D01
7.4,5.9,7.7,5,5,5,C01
8.2,5,5.3,5.1,6.6,5,B00
7.6,6.4,7.4,5,5,8.9,A01
8.4,7.1,6,5,5,5.9,A01
8.6,8.4,7.6,5,5,5,C01
7.2,6.3,5,8.4,7.1,5,B00
9.1,5,7.1,5,5.9,5,B00
7.3,5,6.9,7.8,8.5,5.5,B00
7.6,8,9.3,5,5.1,5,C01
8.9,7.2,5.3,5.4,5,5.2,A01
7.9,5,5,8.5,7.1,5,B00
9.1,5,6,8,7.1,5,B00
